year,moscow_temp
1743,-2.57
1744,6.64
1745,-6.13
1746,
1747,
1748,
1749,
1750,4.84
1751,5.07
1752,-2.08
1753,3.87
1754,4.07
1755,3.99
1756,4.51
1757,4.66
1758,2.22
1759,3.45
1760,2.41
1761,4.14
1762,4.1
1763,2.91
1764,4.35
1765,4.3
1766,4.23
1767,4.05
1768,2.72
1769,3.85
1770,3.97
1771,3.23
1772,3.93
1773,4.79
1774,4.47
1775,5.29
1776,4.16
1777,3.78
1778,4.26
1779,4.99
1780,3.9
1781,3.92
1782,3.33
1783,3.89
1784,3.85
1785,2.65
1786,3.38
1787,4.14
1788,3.31
1789,4.6
1790,3.78
1791,4.8
1792,3.85
1793,4.32
1794,4.99
1795,4.05
1796,4.11
1797,5.19
1798,4.59
1799,3.35
1800,3.8
1801,4.74
1802,4.48
1803,3.35
1804,3.92
1805,3.65
1806,4.18
1807,4.15
1808,3.21
1809,1.9
1810,2.09
1811,3.21
1812,2.4
1813,3.45
1814,2.79
1815,2.82
1816,3.23
1817,3.17
1818,4.11
1819,3.39
1820,3.12
1821,3.88
1822,5.01
1823,3.99
1824,4.98
1825,3.6
1826,4.84
1827,4.37
1828,2.78
1829,2.45
1830,3.64
1831,3.5
1832,2.62
1833,3.93
1834,3.86
1835,2.89
1836,4.03
1837,2.97
1838,2.85
1839,3.49
1840,2.46
1841,4.46
1842,3.51
1843,4.81
1844,3
1845,2.93
1846,3.76
1847,4.02
1848,4.44
1849,3.18
1850,3.53
1851,4.52
1852,3.05
1853,3.87
1854,4.36
1855,3.44
1856,3.08
1857,3.81
1858,3.88
1859,4.99
1860,3.66
1861,3.25
1862,1.58
1863,5.41
1864,3.21
1865,3.27
1866,4.31
1867,2.29
1868,3.78
1869,5.04
1870,2.67
1871,2.25
1872,5.08
1873,4.13
1874,4.36
1875,1.5
1876,3.02
1877,3.13
1878,5.13
1879,3.56
1880,3.24
1881,2.84
1882,4.96
1883,4.03
1884,3.34
1885,4
1886,3.99
1887,4.43
1888,2.26
1889,3.57
1890,4.63
1891,3.97
1892,3.31
1893,2.6
1894,4.01
1895,3.66
1896,3.44
1897,4.49
1898,4.04
1899,3.76
1900,3.27
1901,4.57
1902,2.67
1903,5.24
1904,3.31
1905,4.54
1906,5.06
1907,2.39
1908,2.56
1909,3.76
1910,5.03
1911,3.39
1912,3.14
1913,4.82
1914,4.57
1915,3.52
1916,4.07
1917,3.28
1918,4.05
1919,3.19
1920,4.64
1921,4.33
1922,4.01
1923,3.94
1924,3.67
1925,5.39
1926,3.37
1927,3.5
1928,3.3
1929,3.01
1930,4.55
1931,3.28
1932,5.1
1933,2.72
1934,5.26
1935,4.56
1936,5.36
1937,5.16
1938,5.92
1939,4.63
1940,3.16
1941,1.67
1942,2.09
1943,4.63
1944,4.76
1945,2.94
1946,4.09
1947,3.77
1948,4.78
1949,5.27
1950,3.93
1951,3.99
1952,4.21
1953,4
1954,4.04
1955,3.71
1956,2.45
1957,5.38
1958,3.89
1959,4.3
1960,4.5
1961,5.28
1962,4.54
1963,3.17
1964,4.42
1965,3.35
1966,4.81
1967,4.55
1968,3.58
1969,2.47
1970,4.27
1971,4.37
1972,5.27
1973,4.48
1974,5.45
1975,6.01
1976,2.65
1977,4.43
1978,3.21
1979,4.37
1980,3.41
1981,5.67
1982,4.75
1983,5.65
1984,4.42
1985,3.3
1986,4.19
1987,2.49
1988,4.89
1989,6.63
1990,5.81
1991,5.62
1992,5.36
1993,4.15
1994,4.13
1995,5.88
1996,4.55
1997,4.56
1998,4.47
1999,5.94
2000,5.96
2001,5.32
2002,5.63
2003,4.99
2004,5.32
2005,5.54
2006,4.91
2007,6.43
2008,6.76
2009,5.69
2010,5.91
2011,6.01
2012,5.2
2013,6.8